Accident_ID,City,Latitude,Longitude,Date,Time,Severity,Vehicle_Type,Weather,Road_Condition,Road_Type,Light_Condition,Speed_Limit,Casualties
1,Jaipur,26.868381240866885,75.82853464579604,2024-03-12,20:38,Minor,Auto,Cloudy,Under Construction,City Road,Daylight,40,1
2,Ahmedabad,22.984942049125205,72.61480480348688,2024-07-10,20:32,Minor,Truck,Foggy,Wet,Rural Road,Night,100,2
3,Jaipur,26.794293624547635,75.90625847664377,2024-08-31,02:36,Minor,Bus,Clear,Wet,City Road,Night,30,1
4,Mumbai,19.099282720100977,72.82685522077803,2024-09-20,14:34,Minor,Bike,Cloudy,Wet,Highway,Street Lights,40,3
5,Mumbai,18.901733260254105,72.79418828734121,2024-09-26,15:14,Minor,Car,Rainy,Dry,Highway,Night,80,0
6,Ahmedabad,22.914765752211093,72.50095269871623,2024-02-10,14:44,Fatal,Car,Cloudy,Under Construction,Rural Road,Street Lights,30,0
7,Ahmedabad,23.0940465864087,72.63179982377957,2024-09-17,09:38,Minor,Bicycle,Cloudy,Dry,Rural Road,Night,50,4
8,Bangalore,12.888573609878762,77.58853570039774,2024-05-10,00:04,Minor,Bike,Cloudy,Dry,Rural Road,Street Lights,30,3
9,Hyderabad,17.528542467440687,78.5331551633384,2024-08-18,12:14,Minor,Bicycle,Cloudy,Wet,City Road,Daylight,100,2
10,Delhi,28.605479429279907,77.1325722844226,2024-04-17,11:19,Minor,Car,Foggy,Wet,Highway,Daylight,30,4
11,Bangalore,12.972009076531398,77.57583302932998,2024-05-16,04:32,Minor,Truck,Rainy,Dry,Highway,Night,30,0
12,Mumbai,18.922498302776077,72.87557888996406,2024-04-22,23:16,Minor,Car,Clear,Under Construction,City Road,Night,80,2
13,Hyderabad,17.54220278111404,78.33150710251174,2024-09-03,03:54,Minor,Bus,Rainy,Wet,City Road,Street Lights,30,2
14,Delhi,28.534657093989544,77.16369618163178,2024-12-14,02:19,Major,Truck,Cloudy,Under Construction,Highway,Daylight,40,1
15,Ahmedabad,22.99143884808187,72.5005590100937,2024-05-30,09:34,Fatal,Bus,Cloudy,Dry,City Road,Daylight,100,1
16,Hyderabad,17.46503884862097,78.49889366898074,2024-01-09,08:34,Major,Bicycle,Foggy,Wet,Highway,Street Lights,30,7
17,Chennai,13.003869456229946,80.18318476727453,2024-07-12,21:34,Minor,Auto,Cloudy,Under Construction,Rural Road,Daylight,30,2
18,Ahmedabad,23.002868950719773,72.5111011068514,2024-01-22,13:29,Major,Car,Clear,Dry,Rural Road,Street Lights,30,5
19,Ahmedabad,23.01256940888947,72.63062726543582,2024-06-29,02:59,Fatal,Truck,Cloudy,Wet,Highway,Night,100,2
20,Mumbai,19.126809004072157,72.79128393039676,2024-05-30,01:26,Major,Car,Foggy,Wet,Rural Road,Daylight,40,1
21,Jaipur,26.78828528447275,75.7464605424338,2024-01-13,06:56,Minor,Bicycle,Cloudy,Wet,Rural Road,Street Lights,60,1
22,Mumbai,19.089201823848747,72.80922568657365,2024-12-07,18:24,Fatal,Car,Cloudy,Wet,City Road,Street Lights,100,2
23,Bangalore,12.976742401527638,77.50838041776565,2024-02-22,11:43,Minor,Bus,Rainy,Under Construction,Rural Road,Street Lights,60,1
24,Ahmedabad,23.02371146226079,72.60676592134934,2024-06-06,18:16,Minor,Bike,Clear,Wet,Rural Road,Street Lights,30,2
25,Hyderabad,17.28897628743554,78.45993990113273,2024-01-01,14:33,Minor,Auto,Clear,Dry,Highway,Street Lights,80,1
26,Kolkata,22.477914146564437,88.38221763457844,2024-03-26,13:27,Minor,Bicycle,Rainy,Dry,City Road,Night,80,0
27,Jaipur,26.873900149294123,75.61979647967719,2024-12-22,22:57,Minor,Bike,Foggy,Wet,Highway,Daylight,80,2
28,Hyderabad,17.43042146942061,78.49855453851033,2024-09-14,16:27,Major,Car,Clear,Under Construction,Rural Road,Daylight,60,3
29,Bangalore,13.011714140562088,77.67945108630572,2024-02-12,11:28,Minor,Bike,Clear,Under Construction,City Road,Street Lights,30,0
30,Mumbai,19.146799237374935,72.8405376201084,2024-03-30,01:50,Major,Auto,Foggy,Dry,Highway,Daylight,80,1
31,Delhi,28.43655911564137,77.3201653070892,2024-07-10,02:48,Minor,Bicycle,Cloudy,Dry,Highway,Street Lights,80,1
32,Jaipur,26.879766771778296,75.8082298444778,2024-09-29,16:19,Minor,Car,Foggy,Dry,Rural Road,Night,60,3
33,Bangalore,12.903339204636962,77.5934575561836,2024-03-09,02:11,Major,Auto,Clear,Wet,City Road,Street Lights,100,3
34,Jaipur,27.057493326070315,75.81966663160941,2024-08-26,11:08,Minor,Auto,Cloudy,Wet,Highway,Night,50,2
35,Mumbai,19.079548044599925,72.78360980176087,2024-12-04,07:47,Minor,Bus,Foggy,Under Construction,Highway,Night,50,4
36,Mumbai,19.051814060633895,72.87733497368077,2024-08-07,19:27,Minor,Bus,Clear,Dry,Highway,Night,80,4
37,Kolkata,22.420860222385368,88.41182746606633,2024-03-20,21:20,Major,Bus,Clear,Wet,Rural Road,Daylight,30,1
